date,mph,bpm,power,pm,time
"Jul 23, 2015",25.10,,249,y,28:36:00
"Aug 17, 2017",24.80,149.0,249,y,28:56:00
"May 14, 2015",24.80,148.0,241,y,28:57:00
"Aug 18, 2016",24.80,142.0,225,y,28:57:00
"Sep 10, 2015",24.80,149.0,243,y,29:01:00
"Jul 13, 2017",24.70,151.0,248,y,29:08:00
"May 22, 2014",24.60,,355,,29:10:00
"Jul 21, 2016",24.60,142.0,246,y,29:10:00
"Jun 22, 2017",24.60,,221,y,29:10:00
"Mar 5, 2015",24.60,149.0,242,y,29:15:00
"May 19, 2016",24.50,,238,y,29:18:00
"Jun 9, 2016",24.40,142.0,223,y,29:28:00
"Jul 28, 2016",24.30,,223,y,29:32:00
"Jul 6, 2017",24.30,143.0,239,y,29:36:00
"May 18, 2017",24.20,145.0,246,y,29:39:00
"Nov 10, 2016",24.10,,245,y,29:50:00
"Apr 28, 2016",24.00,147.0,248,y,29:56:00
"Aug 18, 2015",24.00,148.0,236,y,29:57:00
"Mar 19, 2015",23.90,,227,y,30:02:00
"Aug 27, 2015",23.90,144.0,223,y,30:08:00
"Jun 15, 2017",23.90,,242,y,30:08:00
"May 25, 2017",23.70,142.0,228,y,30:17:00
"Mar 31, 2016",23.70,143.0,238,y,30:20:00
"Feb 21, 2013",23.60,,256,y,30:27:00
"Feb 14, 2013",23.60,,261,,30:29:00
"Sep 15, 2016",23.50,142.0,319,,30:34:00
"Sep 29, 2016",23.40,143.0,316,,30:40:00
"Apr 9, 2015",23.40,145.0,224,y,30:44:00
"Apr 23, 2015",23.30,147.0,229,y,30:53:00
"Oct 4, 2016",23.20,142.0,319,,31:02:00
"Jul 27, 2017",23.20,,239,y,31:02:00
"Mar 12, 2013",23.10,,248,,31:10:00
"Oct 20, 2016",23.10,,230,y,31:10:00
"Sep 17, 2015",23.00,142.0,320,,31:12:00
"Sep 23, 2014",23.00,148.0,301,,31:15:00
"May 21, 2015",23.00,,260,y,31:19:00
"Feb 12, 2013",22.90,150.0,244,,31:21:00
"Feb 18, 2014",22.80,,307,,31:31:00
"Feb 7, 2013",22.70,145.0,241,,31:37:00
"Apr 20, 2017",22.70,,222,y,31:38:00
"Mar 21, 2019",22.70,144.0,235,y,31:40:00
"Apr 11, 2019",22.60,139.0,224,y,31:48:00
"Apr 16, 2013",22.40,151.0,230,,32:08:00
"Feb 16, 2016",22.30,146.0,228,y,32:10:00
"Oct 27, 2016",22.10,,239,y,32:31:00
"Oct 13, 2016",21.20,,247,y,33:57:00
"Jun 5, 2014",21.10,,255,,34:04:00
"Nov 27, 2012",21.10,147.0,255,,34:06:00
"Dec 13, 2012",20.20,143.0,236,,35:37:00
"Jul 7, 2016",20.00,124.0,218,y,35:51:00
"Mar 28, 2019",19.70,133.0,212,y,36:24:00
"Sep 30, 2017",18.10,125.0,0,,39:43:00
"Aug 13, 2015",17.90,124.0,194,y,40:07:00
"Aug 17, 2018",16.60,114.0,173,y,43:24:00
"May 30, 2014",16.40,,157,,43:56:00
"May 22, 2015",16.20,115.0,173,y,44:14:00
"Jun 3, 2012",8.80,,206,,1:21:17
